date,value
2015-01-01,2900575.0
2015-01-02,3158211.0
2015-01-03,3596487.0
2015-01-04,3939672.0
2015-01-05,4101790.0
2015-01-06,4149164.0
2015-01-07,4161928.0
2015-01-08,4182622.0
2015-01-09,4153509.0
2015-01-10,3913704.0
2015-01-11,3635468.0
2015-01-12,4011329.0
2015-01-13,3969860.0
2015-01-14,4225259.0
2015-01-15,4106437.0
2015-01-16,4074699.0
2015-01-17,4053950.0
2015-01-18,3827153.0
2015-01-19,4099085.0
2015-01-20,4166022.0
2015-01-21,4091559.0
2015-01-22,4197553.0
2015-01-23,4153027.0
2015-01-24,3841539.0
2015-01-25,3658452.0
2015-01-26,3969836.0
2015-01-27,4250943.0
2015-01-28,4146675.0
2015-01-29,4155199.0
2015-01-30,4015565.0
2015-01-31,3895604.0
2015-02-01,3678729.0
2015-02-02,3983918.0
2015-02-03,3962811.0
2015-02-04,3904604.0
2015-02-05,3812319.0
2015-02-06,3808081.0
2015-02-07,3503405.0
2015-02-08,3476838.0
2015-02-09,3562045.0
2015-02-10,3221193.0
2015-02-11,2909801.0
2015-02-12,2934951.0
2015-02-13,2847925.0
2015-02-14,2526925.0
2015-02-15,2311930.0
2015-02-16,2243961.0
2015-02-17,2121020.0
2015-02-18,1589939.0
2015-02-19,1924576.0
2015-02-20,1978058.0
2015-02-21,2012807.0
2015-02-22,2057751.0
2015-02-23,2129969.0
2015-02-24,2215586.0
2015-02-25,2345116.0
2015-02-26,2617715.0
2015-02-27,2906772.0
2015-02-28,1675678.0
2015-03-01,2900464.0
2015-03-02,3334082.0
2015-03-03,3492606.0
2015-03-04,3597890.0
2015-03-05,1798044.0
2015-03-06,1787992.0
2015-03-07,3559113.0
2015-03-08,2972454.0
2015-03-09,3772564.0
2015-03-10,3868938.0
2015-03-11,3881363.0
2015-03-12,3935078.0
2015-03-13,3845654.0
2015-03-14,3941197.0
2015-03-15,3710792.0
2015-03-16,3736062.0
2015-03-17,3862429.0
2015-03-18,3809448.0
2015-03-19,3294148.0
2015-03-20,2659507.0
2015-03-21,3097831.0
2015-03-22,3153864.0
2015-03-23,3793539.0
2015-03-24,3886598.0
2015-03-25,3946979.0
2015-03-26,3978091.0
2015-03-27,3505012.0
2015-03-28,3641733.0
