predict_date,predict_power_consumption
20160901,4601576
20160902,4446067
20160903,3623617
20160904,4051570
20160905,4261257
20160906,4353395
20160907,4548572
20160908,4189279
20160909,4439038
20160910,4450626
20160911,4448777
20160912,4124914
20160913,3920487
20160914,4213458
20160915,4344370
20160916,4252751
20160917,4469852
20160918,4501664
20160919,4331210
20160920,4097192
20160921,4481586
20160922,4571919
20160923,4546989
20160924,4569328
20160925,4572411
20160926,3975490
20160927,3820722
20160928,4388927
20160929,4528816
20160930,5125318
