predict_date,predict_power_consumption
20160901,4183251
20160902,4041879
20160903,3294197
20160904,3683245
20160905,3873870
20160906,3957632
20160907,4135065
20160908,3808435
20160909,4035489
20160910,4046024
20160911,4044343
20160912,3749922
20160913,3564079
20160914,3830416
20160915,3949427
20160916,3866137
20160917,4063502
20160918,4092422
20160919,3937464
20160920,3724720
20160921,4074169
20160922,4156290
20160923,4133626
20160924,4153935
20160925,4156737
20160926,3614082
20160927,3473384
20160928,3989934
20160929,4117105
20160930,4659380
